timestamp,run_id,rank,market_number,market_title,side,consensus,consensus_count,total_models,reasoning,web_search_used,link
2025-11-27T08:41:50.469341,20251127_084150,3,3,Lighter market cap (FDV) >$4B one day after launch?,NO,4 out of 7 models agreed,4,7,"Majority consensus that despite strong backing, the nearly 3x increase needed from $1.5B valuation plus airdrop sell pressure makes >$4B FDV unlikely within one day.",YES,https://polymarket.com/event/lighter-market-cap-fdv-one-day-after-launch
2025-11-27T08:41:50.469341,20251127_084150,4,3,Lighter market cap (FDV) >$4B one day after launch?,YES,3 out of 7 models agreed,3,7,Minority position citing strong Ethereum community backing and analyst projections for initial pump despite airdrop concerns.,YES,https://polymarket.com/event/lighter-market-cap-fdv-one-day-after-launch
2025-11-27T08:41:50.469341,20251127_084150,5,2,Will Pope Leo XIV be the #1 searched person on Google this year?,YES,2 out of 7 models agreed,2,7,Minority position emphasizing the historic nature of first American pope election and high-profile international activities generating massive search interest.,YES,https://polymarket.com/event/1-searched-person-on-google-this-year
2025-11-27T08:47:49.358614,20251127_084749,1,3,Lighter market cap (FDV) >$1B one day after launch?,YES,5 out of 7 models agreed,5,7,"Strong consensus based on Lighter's $1.5B pre-TGE valuation, $1B+ TVL, and major investor backing making the $1B FDV threshold highly achievable.",YES,https://polymarket.com/event/lighter-market-cap-fdv-one-day-after-launch
2025-11-27T08:47:49.358614,20251127_084749,2,1,Bengals vs. Ravens,NO,5 out of 7 models agreed (2 NO_TRADE),5,7,"Ravens favored due to Lamar Jackson's health, Tee Higgins' uncertain concussion status, and Baltimore's overall stronger position despite Burrow's return.",YES,https://polymarket.com/event/nfl-cin-bal-2025-11-27
2025-11-27T08:47:49.358614,20251127_084749,3,2,Dota 2: Heroic vs Yakult Brothers (BO1),YES,"4 out of 7 models agreed (2 NO, 1 NO_TRADE)",4,7,"Heroic's superior ranking (#11 vs #17), better recent record (3-7 vs 2-8), and 2-1 head-to-head advantage make them the clear favorite.",YES,https://polymarket.com/event/dota2-heroic-yak-2025-11-27
2025-11-27T08:47:49.358614,20251127_084749,4,2,Dota 2: Heroic vs Yakult Brothers (BO1),NO (for Yakult Brothers winning),4 out of 7 models effectively agreed,4,7,Multiple models explicitly predicted NO on Yakult Brothers due to Heroic's statistical advantages across all metrics.,YES,https://polymarket.com/event/dota2-heroic-yak-2025-11-27
2025-11-27T08:47:49.358614,20251127_084749,5,3,Lighter market cap (FDV) >$1B one day after launch?,NO,2 out of 7 models agreed (minority view but notable),2,7,Concerns about typical token launch volatility and day-one sell pressure from early investors despite strong fundamentals.,YES,https://polymarket.com/event/lighter-market-cap-fdv-one-day-after-launch
2025-11-27T08:53:37.610952,20251127_085337,1,1,Will MetaMask launch a token in 2025?,YES,7 out of 7 models agreed,7,7,Perfect unanimous agreement across all models based on official CEO confirmation and the $30M rewards program tied to the token launch.,YES,https://polymarket.com/event/will-metamask-launch-a-token-in-2025
2025-11-27T08:53:37.610952,20251127_085337,2,2,Will Mark Kelly win the 2028 Democratic presidential nomination?,NO,5 out of 7 models agreed (2 said NO_TRADE),5,7,Strong majority consensus that Kelly's endorsement of Kamala Harris and lack of declared candidacy make his nomination unlikely.,YES,https://polymarket.com/event/democratic-presidential-nominee-2028
2025-11-27T08:53:37.610952,20251127_085337,3,3,Suns vs. Thunder,NO,4 out of 7 models agreed (3 said NO_TRADE),4,7,"Majority lean toward Thunder victory based on their 10-game winning streak and Shai Gilgeous-Alexander's dominant 40-point performance, though three models found it too close to call.",YES,https://polymarket.com/event/nba-phx-okc-2025-11-28
2025-11-27T08:53:37.610952,20251127_085337,4,2,Will Mark Kelly win the 2028 Democratic presidential nomination?,NO/NO_TRADE combined,7 out of 7 models agreed against YES,7,7,"Complete consensus that betting YES on Kelly is not advisable, with all models either predicting NO or staying neutral.",YES,https://polymarket.com/event/democratic-presidential-nominee-2028
2025-11-27T08:53:37.610952,20251127_085337,5,3,Suns vs. Thunder,NO/NO_TRADE combined,7 out of 7 models agreed against YES (Suns),7,7,"Universal agreement that the Suns are not the favorable pick, with models either backing Thunder or finding the matchup too competitive to call.",YES,https://polymarket.com/event/nba-phx-okc-2025-11-28
